Time_Step,Node_ID,X,Y,Cum_Disp_X,Cum_Disp_Y,Total_Settlement,Temperature,Water_Level
30,1.0,168.0,5.33,5.675000000000001e-06,-1.7475e-05,-1.7475e-05,8.477297832352198,149.01265788608933
60,1.0,168.0,5.33,0.000322725,-0.00370435,-0.00370435,13.440641063622547,151.4051790113798
90,1.0,168.0,5.33,-1.4650000000000004e-05,-0.0078161999999999,-0.0078161999999999,20.679265261427837,155.4118488360603
120,1.0,168.0,5.33,-0.000277525,-0.0111559749999999,-0.0111559749999999,28.48126862154004,161.65161072095503
150,1.0,168.0,5.33,-0.000496725,-0.0138466499999999,-0.0138466499999999,32.032376926020525,165.34604083411128
180,1.0,168.0,5.33,-0.0006823249999999,-0.0160698999999999,-0.0160698999999999,33.52310205215949,169.28266815437124
210,1.0,168.0,5.33,-0.0008421499999999,-0.0179512749999999,-0.0179512749999999,31.341601330196184,169.74646819355274
240,1.0,168.0,5.33,-0.000981875,-0.0195748249999999,-0.0195748249999999,26.363031503451563,168.10586149780653
270,1.0,168.0,5.33,-0.0011055749999999,-0.0209981499999999,-0.0209981499999999,19.810558980088963,164.30631153410468
300,1.0,168.0,5.33,-0.0012162999999999,-0.0222620499999999,-0.0222620499999999,14.192603247651263,158.83867129049568
330,1.0,168.0,5.33,-0.0013162999999999,-0.0233963999999999,-0.0233963999999999,5.637458051910027,154.98179402136626
360,1.0,168.0,5.33,-0.0014073249999999,-0.0244235499999999,-0.0244235499999999,4.257602714436637,151.0353212776278
390,1.0,168.0,5.33,-0.0014907499999999,-0.0253606749999999,-0.0253606749999999,7.110994911341663,149.87557223212232
420,1.0,168.0,5.33,-0.0015676499999999,-0.0262211999999999,-0.0262211999999999,9.951358936732465,151.4173297929572
450,1.0,168.0,5.33,-0.001638875,-0.0270158749999999,-0.0270158749999999,19.42998273853621,154.79485948350924
480,1.0,168.0,5.33,-0.0017051999999999,-0.0277533499999999,-0.0277533499999999,28.107938849437424,160.41250878364124
510,1.0,168.0,5.33,-0.0017671499999999,-0.0284406999999999,-0.0284406999999999,34.113101369588755,164.90795015253147
540,1.0,168.0,5.33,-0.0018252499999999,-0.0290838249999999,-0.0290838249999999,32.93586494181032,169.75932381104644
570,1.0,168.0,5.33,-0.0018798999999999,-0.0296876499999999,-0.0296876499999999,34.839888766188096,169.50564579556442
600,1.0,168.0,5.33,-0.0019314749999999,-0.0302563749999999,-0.0302563749999999,27.64061336863719,168.41387204497968
630,1.0,168.0,5.33,-0.0019802499999999,-0.0307934999999999,-0.0307934999999999,22.119399260521334,165.50603953636374
660,1.0,168.0,5.33,-0.0020264999999999,-0.0313021249999999,-0.0313021249999999,14.706571817027406,160.37607933279648
690,1.0,168.0,5.33,-0.0020704749999999,-0.0317848499999999,-0.0317848499999999,9.126058540020647,154.8750730924656
720,1.0,168.0,5.33,-0.0021123499999999,-0.0322440249999999,-0.0322440249999999,4.702670017881104,151.8831425269016
750,1.0,168.0,5.33,-0.0021522999999999,-0.0326815999999999,-0.0326815999999999,5.144591129034795,149.5094506376499
780,1.0,168.0,5.33,-0.0021904749999999,-0.0330994249999999,-0.0330994249999999,9.075135229080123,151.99709978105224
810,1.0,168.0,5.33,-0.0022270249999999,-0.0334989999999999,-0.0334989999999999,16.93774866017916,155.13299710235742
840,1.0,168.0,5.33,-0.0022620499999999,-0.0338817499999999,-0.0338817499999999,26.174122719172082,158.85629015021254
870,1.0,168.0,5.33,-0.0022956999999999,-0.0342489249999999,-0.0342489249999999,32.54563100623788,163.76026849387387
900,1.0,168.0,5.33,-0.0023280499999999,-0.0346016249999999,-0.0346016249999999,33.54132004302883,168.86879051975922
930,1.0,168.0,5.33,-0.0023591749999999,-0.0349408749999999,-0.0349408749999999,33.18607641118818,170.99492476768032
960,1.0,168.0,5.33,-0.0023891499999999,-0.0352675249999999,-0.0352675249999999,28.95984977150134,169.2122531480089
990,1.0,168.0,5.33,-0.0024180999999999,-0.0355824749999999,-0.0355824749999999,23.25721717000302,166.02941325783218
1020,1.0,168.0,5.33,-0.0024460249999999,-0.0358863999999999,-0.0358863999999999,15.577959517491974,160.9076571428995
1050,1.0,168.0,5.33,-0.0024730249999999,-0.0361799999999999,-0.0361799999999999,9.09749317235451,155.7842539077702
1080,1.0,168.0,5.33,-0.0024991499999999,-0.0364638999999999,-0.0364638999999999,5.9743694927486715,152.3081612324866
1110,1.0,168.0,5.33,-0.0025244499999999,-0.0367386749999999,-0.0367386749999999,5.94587622381606,149.54956147425332
1140,1.0,168.0,5.33,-0.0025489749999999,-0.0370048249999999,-0.0370048249999999,10.684170249614912,150.82671153809736
1170,1.0,168.0,5.33,-0.0025727499999999,-0.0372628249999999,-0.0372628249999999,17.7648875434516,154.01808909767595
1200,1.0,168.0,5.33,-0.0025958249999999,-0.0375131249999999,-0.0375131249999999,24.552035615737243,157.9741609985609
1230,1.0,168.0,5.33,-0.0026182249999999,-0.0377561249999999,-0.0377561249999999,32.176599268579416,163.04808775238683
1260,1.0,168.0,5.33,-0.0026399999999999,-0.0379921999999999,-0.0379921999999999,33.77701279241358,166.92256739039397
1290,1.0,168.0,5.33,-0.0026611749999999,-0.0382217249999999,-0.0382217249999999,34.58203504378106,169.2100078049767
1320,1.0,168.0,5.33,-0.0026817999999999,-0.0384449749999999,-0.0384449749999999,29.671696643452798,170.43515089383192
1350,1.0,168.0,5.33,-0.0027018499999999,-0.0386622999999999,-0.0386622999999999,22.453847093217163,166.9596948797231
1380,1.0,168.0,5.33,-0.0027213999999999,-0.0388739499999999,-0.0388739499999999,16.266495787665523,161.85489737609822
1410,1.0,168.0,5.33,-0.0027404499999999,-0.0390801749999999,-0.0390801749999999,7.927611579634266,156.7405668449355
1440,1.0,168.0,5.33,-0.0027590499999999,-0.0392812499999999,-0.0392812499999999,4.785200142678777,152.6811795843015
1470,1.0,168.0,5.33,-0.0027771749999999,-0.0394773999999999,-0.0394773999999999,6.539132603088964,149.6634511723262
1500,1.0,168.0,5.33,-0.0027948749999999,-0.0396688249999999,-0.0396688249999999,9.946782699606773,150.43984607325706
30,2.0,168.0,10.0,9.575e-06,-3.14e-05,-3.14e-05,8.228311705599031,150.03786681576884
60,2.0,168.0,10.0,0.0007004499999999,-0.0071653499999999,-0.0071653499999999,12.708063490380894,151.8448963415261
90,2.0,168.0,10.0,5.479999999999981e-05,-0.015037125,-0.015037125,22.83185006305334,155.02126658041456
120,2.0,168.0,10.0,-0.000490975,-0.02134135,-0.02134135,26.58120677766311,161.39462084016895
150,2.0,168.0,10.0,-0.00094695,-0.02638215,-0.02638215,33.26261454907699,164.39404294534208
180,2.0,168.0,10.0,-0.001331625,-0.0305275,-0.0305275,33.688801543165155,169.4270631584392
210,2.0,168.0,10.0,-0.00166145,-0.034023725,-0.034023725,31.06298630486069,169.49630471454205
240,2.0,168.0,10.0,-0.001948625,-0.037033125,-0.037033125,26.141033955567934,169.3160458876417
270,2.0,168.0,10.0,-0.002202025,-0.039666025,-0.039666025,20.292867291888207,164.41538428011268
300,2.0,168.0,10.0,-0.002428125,-0.042000175,-0.042000175,12.00251084791321,159.61496743442385
330,2.0,168.0,10.0,-0.002631825,-0.0440921,-0.0440921,6.669811822121748,155.31460967068693
360,2.0,168.0,10.0,-0.0028168,-0.045984025,-0.045984025,4.275623466952622,151.78498714933724
390,2.0,168.0,10.0,-0.002985975,-0.047708325,-0.047708325,7.4473991085647615,151.03728135460466
420,2.0,168.0,10.0,-0.00314165,-0.049290225,-0.049290225,11.879094534574515,151.30580917635874
450,2.0,168.0,10.0,-0.003285625,-0.050749825,-0.050749825,20.637574594776222,155.87017243214143
480,2.0,168.0,10.0,-0.0034194,-0.05210335,-0.05210335,25.798306792231408,158.89778872419836
510,2.0,168.0,10.0,-0.00354425,-0.053364025,-0.053364025,32.88560663304424,164.6828097312258
540,2.0,168.0,10.0,-0.003661175,-0.05454285,-0.05454285,34.66312287810621,168.23378740944875
570,2.0,168.0,10.0,-0.00377105,-0.055649025,-0.055649025,34.251464616329024,169.71082557746024
600,2.0,168.0,10.0,-0.003874625,-0.0566903,-0.0566903,30.186027752160154,168.2082402699469
