Time_Step,Node_ID,X,Y,Cum_Disp_X,Cum_Disp_Y,Total_Settlement,lag_1,lag_2,rolling_mean_3,neighbor_avg_disp
90,1.0,168.0,5.33,-1.4650000000000004e-05,-0.007816199999999999,-0.007816199999999999,-0.00370435,-1.7475e-05,-0.003846008333333333,-0.005883810000000001
120,1.0,168.0,5.33,-0.00027752500000000004,-0.011155974999999999,-0.011155974999999999,-0.007816199999999999,-0.00370435,-0.007558841666666666,-0.00838516
150,1.0,168.0,5.33,-0.000496725,-0.013846649999999999,-0.013846649999999999,-0.011155974999999999,-0.007816199999999999,-0.010939608333333331,-0.010397054999999999
180,1.0,168.0,5.33,-0.0006823249999999999,-0.016069899999999998,-0.016069899999999998,-0.013846649999999999,-0.011155974999999999,-0.013690841666666667,-0.012057845000000001
210,1.0,168.0,5.33,-0.0008421499999999998,-0.017951274999999996,-0.017951274999999996,-0.016069899999999998,-0.013846649999999999,-0.015955941666666664,-0.01346234
240,1.0,168.0,5.33,-0.000981875,-0.019574824999999997,-0.019574824999999997,-0.017951274999999996,-0.016069899999999998,-0.01786533333333333,-0.014673744999999998
270,1.0,168.0,5.33,-0.0011055749999999997,-0.020998149999999993,-0.020998149999999993,-0.019574824999999997,-0.017951274999999996,-0.01950808333333333,-0.015735325
300,1.0,168.0,5.33,-0.0012162999999999998,-0.02226204999999999,-0.02226204999999999,-0.020998149999999993,-0.019574824999999997,-0.02094500833333333,-0.016677705
330,1.0,168.0,5.33,-0.0013162999999999998,-0.02339639999999999,-0.02339639999999999,-0.02226204999999999,-0.020998149999999993,-0.02221886666666666,-0.01752325
360,1.0,168.0,5.33,-0.0014073249999999999,-0.02442354999999999,-0.02442354999999999,-0.02339639999999999,-0.02226204999999999,-0.023360666666666658,-0.018288685000000002
390,1.0,168.0,5.33,-0.0014907499999999999,-0.02536067499999999,-0.02536067499999999,-0.02442354999999999,-0.02339639999999999,-0.024393541666666657,-0.018986890000000003
420,1.0,168.0,5.33,-0.0015676499999999999,-0.026221199999999986,-0.026221199999999986,-0.02536067499999999,-0.02442354999999999,-0.025335141666666654,-0.01962792
450,1.0,168.0,5.33,-0.001638875,-0.027015874999999988,-0.027015874999999988,-0.026221199999999986,-0.02536067499999999,-0.02619924999999999,-0.020219775000000002
480,1.0,168.0,5.33,-0.0017051999999999998,-0.02775334999999999,-0.02775334999999999,-0.027015874999999988,-0.026221199999999986,-0.02699680833333332,-0.020768945000000004
510,1.0,168.0,5.33,-0.0017671499999999997,-0.02844069999999999,-0.02844069999999999,-0.02775334999999999,-0.027015874999999988,-0.027736641666666655,-0.021280715000000002
540,1.0,168.0,5.33,-0.0018252499999999996,-0.02908382499999999,-0.02908382499999999,-0.02844069999999999,-0.02775334999999999,-0.02842595833333332,-0.021759505
570,1.0,168.0,5.33,-0.0018798999999999995,-0.02968764999999999,-0.02968764999999999,-0.02908382499999999,-0.02844069999999999,-0.02907072499999999,-0.02220898
600,1.0,168.0,5.33,-0.0019314749999999996,-0.030256374999999985,-0.030256374999999985,-0.02968764999999999,-0.02908382499999999,-0.02967594999999999,-0.022632260000000005
630,1.0,168.0,5.33,-0.0019802499999999994,-0.030793499999999988,-0.030793499999999988,-0.030256374999999985,-0.02968764999999999,-0.03024584166666665,-0.023032005
660,1.0,168.0,5.33,-0.0020264999999999992,-0.031302124999999986,-0.031302124999999986,-0.030793499999999988,-0.030256374999999985,-0.03078399999999999,-0.02341048
690,1.0,168.0,5.33,-0.002070474999999999,-0.03178484999999998,-0.03178484999999998,-0.031302124999999986,-0.030793499999999988,-0.03129349166666665,-0.02376967
720,1.0,168.0,5.33,-0.0021123499999999994,-0.03224402499999998,-0.03224402499999998,-0.03178484999999998,-0.031302124999999986,-0.03177699999999998,-0.024111280000000006
750,1.0,168.0,5.33,-0.002152299999999999,-0.032681599999999984,-0.032681599999999984,-0.03224402499999998,-0.03178484999999998,-0.03223682499999998,-0.024436825000000002
780,1.0,168.0,5.33,-0.002190474999999999,-0.03309942499999998,-0.03309942499999998,-0.032681599999999984,-0.03224402499999998,-0.03267501666666665,-0.02474762
810,1.0,168.0,5.33,-0.002227024999999999,-0.03349899999999999,-0.03349899999999999,-0.03309942499999998,-0.032681599999999984,-0.033093341666666644,-0.025044840000000002
840,1.0,168.0,5.33,-0.002262049999999999,-0.03388174999999998,-0.03388174999999998,-0.03349899999999999,-0.03309942499999998,-0.03349339166666665,-0.025329520000000005
870,1.0,168.0,5.33,-0.002295699999999999,-0.034248924999999986,-0.034248924999999986,-0.03388174999999998,-0.03349899999999999,-0.03387655833333331,-0.02560259
900,1.0,168.0,5.33,-0.002328049999999999,-0.03460162499999998,-0.03460162499999998,-0.034248924999999986,-0.03388174999999998,-0.034244099999999986,-0.025864885000000004
930,1.0,168.0,5.33,-0.002359174999999999,-0.03494087499999998,-0.03494087499999998,-0.03460162499999998,-0.034248924999999986,-0.03459714166666665,-0.02611715
960,1.0,168.0,5.33,-0.0023891499999999987,-0.03526752499999998,-0.03526752499999998,-0.03494087499999998,-0.03460162499999998,-0.03493667499999998,-0.026360055000000004
990,1.0,168.0,5.33,-0.002418099999999999,-0.03558247499999998,-0.03558247499999998,-0.03526752499999998,-0.03494087499999998,-0.035263624999999986,-0.026594215000000004
1020,1.0,168.0,5.33,-0.0024460249999999992,-0.03588639999999998,-0.03588639999999998,-0.03558247499999998,-0.03526752499999998,-0.03557879999999998,-0.026820190000000004
1050,1.0,168.0,5.33,-0.002473024999999999,-0.036179999999999976,-0.036179999999999976,-0.03588639999999998,-0.03558247499999998,-0.03588295833333331,-0.027038480000000004
1080,1.0,168.0,5.33,-0.0024991499999999995,-0.03646389999999998,-0.03646389999999998,-0.036179999999999976,-0.03588639999999998,-0.036176766666666645,-0.027249535000000002
1110,1.0,168.0,5.33,-0.0025244499999999993,-0.03673867499999998,-0.03673867499999998,-0.03646389999999998,-0.036179999999999976,-0.03646085833333331,-0.02745379
1140,1.0,168.0,5.33,-0.0025489749999999993,-0.03700482499999997,-0.03700482499999997,-0.03673867499999998,-0.03646389999999998,-0.03673579999999998,-0.027651625000000003
1170,1.0,168.0,5.33,-0.0025727499999999995,-0.03726282499999997,-0.03726282499999997,-0.03700482499999997,-0.03673867499999998,-0.037002108333333304,-0.027843405000000005
1200,1.0,168.0,5.33,-0.0025958249999999995,-0.037513124999999974,-0.037513124999999974,-0.03726282499999997,-0.03700482499999997,-0.0372602583333333,-0.028029445000000004
1230,1.0,168.0,5.33,-0.002618224999999999,-0.03775612499999997,-0.03775612499999997,-0.037513124999999974,-0.03726282499999997,-0.03751069166666664,-0.028210055
1260,1.0,168.0,5.33,-0.0026399999999999996,-0.03799219999999997,-0.03799219999999997,-0.03775612499999997,-0.037513124999999974,-0.037753816666666634,-0.028385515
1290,1.0,168.0,5.33,-0.0026611749999999996,-0.03822172499999997,-0.03822172499999997,-0.03799219999999997,-0.03775612499999997,-0.03799001666666663,-0.028556080000000005
1320,1.0,168.0,5.33,-0.0026817999999999994,-0.03844497499999997,-0.03844497499999997,-0.03822172499999997,-0.03799219999999997,-0.0382196333333333,-0.028722000000000004
1350,1.0,168.0,5.33,-0.002701849999999999,-0.038662299999999976,-0.038662299999999976,-0.03844497499999997,-0.03822172499999997,-0.03844299999999998,-0.02888349
1380,1.0,168.0,5.33,-0.0027213999999999993,-0.03887394999999998,-0.03887394999999998,-0.038662299999999976,-0.03844497499999997,-0.038660408333333306,-0.029040765000000003
1410,1.0,168.0,5.33,-0.0027404499999999993,-0.039080174999999974,-0.039080174999999974,-0.03887394999999998,-0.038662299999999976,-0.038872141666666644,-0.029194015
1440,1.0,168.0,5.33,-0.002759049999999999,-0.039281249999999976,-0.039281249999999976,-0.039080174999999974,-0.03887394999999998,-0.03907845833333331,-0.029343425000000006
1470,1.0,168.0,5.33,-0.0027771749999999993,-0.03947739999999998,-0.03947739999999998,-0.039281249999999976,-0.039080174999999974,-0.03927960833333331,-0.029489160000000004
1500,1.0,168.0,5.33,-0.002794874999999999,-0.03966882499999998,-0.03966882499999998,-0.03947739999999998,-0.039281249999999976,-0.03947582499999998,-0.029631395000000005
90,2.0,168.0,10.0,5.4799999999999814e-05,-0.015037125,-0.015037125,-0.007165349999999999,-3.14e-05,-0.007411291666666667,-0.016126849999999998
120,2.0,168.0,10.0,-0.0004909750000000002,-0.02134135,-0.02134135,-0.015037125,-0.007165349999999999,-0.014514608333333331,-0.022880690000000002
150,2.0,168.0,10.0,-0.0009469500000000002,-0.02638215,-0.02638215,-0.02134135,-0.015037125,-0.02092020833333333,-0.028280850000000003
180,2.0,168.0,10.0,-0.0013316250000000003,-0.030527500000000003,-0.030527500000000003,-0.02638215,-0.02134135,-0.026083666666666668,-0.032721995000000004
210,2.0,168.0,10.0,-0.0016614500000000003,-0.034023725000000005,-0.034023725000000005,-0.030527500000000003,-0.02638215,-0.030311125000000005,-0.03646792
240,2.0,168.0,10.0,-0.0019486250000000003,-0.037033125,-0.037033125,-0.034023725000000005,-0.030527500000000003,-0.03386145,-0.039692420000000006
270,2.0,168.0,10.0,-0.0022020250000000002,-0.039666025,-0.039666025,-0.037033125,-0.034023725000000005,-0.036907625,-0.042513669999999996
300,2.0,168.0,10.0,-0.0024281250000000006,-0.042000175,-0.042000175,-0.039666025,-0.037033125,-0.03956644166666667,-0.045014895
330,2.0,168.0,10.0,-0.0026318250000000004,-0.0440921,-0.0440921,-0.042000175,-0.039666025,-0.04191943333333333,-0.047256625
360,2.0,168.0,10.0,-0.0028168000000000004,-0.045984025000000005,-0.045984025000000005,-0.0440921,-0.042000175,-0.044025433333333336,-0.04928410999999999
390,2.0,168.0,10.0,-0.002985975,-0.047708325,-0.047708325,-0.045984025000000005,-0.0440921,-0.04592815,-0.05113199
420,2.0,168.0,10.0,-0.00314165,-0.049290225,-0.049290225,-0.047708325,-0.045984025000000005,-0.047660858333333334,-0.05282731
450,2.0,168.0,10.0,-0.0032856250000000004,-0.050749825000000005,-0.050749825000000005,-0.049290225,-0.047708325,-0.04924945833333333,-0.054391585000000006
480,2.0,168.0,10.0,-0.0034194000000000004,-0.05210335000000001,-0.05210335000000001,-0.050749825000000005,-0.049290225,-0.05071446666666667,-0.05584219
510,2.0,168.0,10.0,-0.0035442500000000005,-0.053364025,-0.053364025,-0.05210335000000001,-0.050749825000000005,-0.05207240000000001,-0.057193320000000006
540,2.0,168.0,10.0,-0.003661175000000001,-0.054542850000000004,-0.054542850000000004,-0.053364025,-0.05210335000000001,-0.053336741666666666,-0.058456745
570,2.0,168.0,10.0,-0.0037710500000000006,-0.055649025000000005,-0.055649025000000005,-0.054542850000000004,-0.053364025,-0.05451863333333334,-0.059642299999999995
600,2.0,168.0,10.0,-0.003874625000000001,-0.056690300000000006,-0.056690300000000006,-0.055649025000000005,-0.054542850000000004,-0.05562739166666667,-0.06075831
630,2.0,168.0,10.0,-0.003972475000000001,-0.057673275,-0.057673275,-0.056690300000000006,-0.055649025000000005,-0.056670866666666674,-0.06181183999999999
660,2.0,168.0,10.0,-0.0040652000000000015,-0.058603625000000006,-0.058603625000000006,-0.057673275,-0.056690300000000006,-0.05765573333333334,-0.06280899
690,2.0,168.0,10.0,-0.0041532500000000016,-0.059486250000000004,-0.059486250000000004,-0.058603625000000006,-0.057673275,-0.05858771666666667,-0.06375499500000001
720,2.0,168.0,10.0,-0.004237025000000002,-0.06032542500000001,-0.06032542500000001,-0.059486250000000004,-0.058603625000000006,-0.059471766666666676,-0.06465444499999999
750,2.0,168.0,10.0,-0.004316900000000002,-0.0611249,-0.0611249,-0.06032542500000001,-0.059486250000000004,-0.060312191666666674,-0.065511325
780,2.0,168.0,10.0,-0.004393175000000002,-0.061887950000000004,-0.061887950000000004,-0.0611249,-0.06032542500000001,-0.06111275833333334,-0.066329165
810,2.0,168.0,10.0,-0.004466175000000001,-0.062617475,-0.062617475,-0.061887950000000004,-0.0611249,-0.061876775,-0.067111065
840,2.0,168.0,10.0,-0.004536075000000001,-0.06331602500000001,-0.06331602500000001,-0.062617475,-0.061887950000000004,-0.06260715,-0.0678598
870,2.0,168.0,10.0,-0.004603175000000001,-0.06398595000000001,-0.06398595000000001,-0.06331602500000001,-0.062617475,-0.06330648333333334,-0.06857784000000001
900,2.0,168.0,10.0,-0.004667625000000001,-0.06462927500000001,-0.06462927500000001,-0.06398595000000001,-0.06331602500000001,-0.06397708333333335,-0.06926737499999999
930,2.0,168.0,10.0,-0.004729625000000001,-0.065247875,-0.065247875,-0.06462927500000001,-0.06398595000000001,-0.06462103333333334,-0.06993041
960,2.0,168.0,10.0,-0.0047893250000000005,-0.06584340000000001,-0.06584340000000001,-0.065247875,-0.06462927500000001,-0.06524018333333333,-0.07056871
990,2.0,168.0,10.0,-0.0048469,-0.06641737500000001,-0.06641737500000001,-0.06584340000000001,-0.065247875,-0.06583621666666668,-0.07118392
1020,2.0,168.0,10.0,-0.004902475000000001,-0.06697117500000001,-0.06697117500000001,-0.06641737500000001,-0.06584340000000001,-0.06641065000000002,-0.07177749
1050,2.0,168.0,10.0,-0.004956150000000001,-0.06750605000000001,-0.06750605000000001,-0.06697117500000001,-0.06641737500000001,-0.06696486666666668,-0.07235077
1080,2.0,168.0,10.0,-0.005008075000000001,-0.0680231,-0.0680231,-0.06750605000000001,-0.06697117500000001,-0.06750010833333335,-0.072904975
1110,2.0,168.0,10.0,-0.005058325000000001,-0.06852342500000001,-0.06852342500000001,-0.0680231,-0.06750605000000001,-0.06801752500000001,-0.07344123
1140,2.0,168.0,10.0,-0.005107000000000001,-0.06900792500000001,-0.06900792500000001,-0.06852342500000001,-0.0680231,-0.06851815000000001,-0.07396054500000002
1170,2.0,168.0,10.0,-0.005154175000000001,-0.06947752500000001,-0.06947752500000001,-0.06900792500000001,-0.06852342500000001,-0.06900295833333335,-0.074463875
1200,2.0,168.0,10.0,-0.005199950000000001,-0.06993302500000001,-0.06993302500000001,-0.06947752500000001,-0.06900792500000001,-0.06947282500000002,-0.07495208
1230,2.0,168.0,10.0,-0.005244375000000001,-0.07037515000000001,-0.07037515000000001,-0.06993302500000001,-0.06947752500000001,-0.06992856666666668,-0.07542597
1260,2.0,168.0,10.0,-0.005287550000000001,-0.0708046,-0.0708046,-0.07037515000000001,-0.06993302500000001,-0.07037092500000001,-0.075886275
